Matricula,Nome,Idade,DataNascimento,Telefone,CPF,Index
0,ReprovaçãodaVéiaKahuã,696969,01/01/0001,(11) 11111-1111,000.000.000-01,0
13456743345634,Seu Tabua,23,22/02/3444,(34) 56345-5555,367.364.464-63,0
222222222222222,OBunoELindoDaLo01,22,22/10/2223,(22) 22222-2222,222.222.222-22,0
2345653,567d,22,27/04/1220,(23) 45634-4555,456.765.456-74,0
2345673234,345678,23,22/10/2336,(23) 45678-4333,"   .   .   -  ",0
234567654345,wehthhz,23,25/04/2006,(24) 56765-4345,456.765.456-74,0
3456733,3456,23,23/06/2338,(23) 45678-4355,245.678.543-45,0
3456743333,2345,33,22/08/2336,(23) 45566-6666,234.567.655-55,0
345676434567,brufewf,14,27/03/2005,(12) 34567-8743,456.785.432-45,0
45733467565646454,teste23,11,22/11/2006,(12) 34564-5454,234.568.543-44,0
98765,Maria Jose,25,10/10/1999,(86) 99999-8888,111.222.333-44,0
Ex: 12345678,Björk Guðmundsdóttir,59,21/11/1965,(35) 44444-4444,572.439.180-50,1
